id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
4fb77736-1b90-4481-b6df-39ffb4c05071,oarblade.gay,available,50.98,,medium,low,9,namecheap,,
257d3be1-5020-41c2-98e3-581a58c26a81,independenceday.gay,available,38.99,38.99,high,low,16,namesilo,,
cd6975b1-6344-4eb2-a54e-a084d7407b52,falls.gay,available,38.99,38.99,high,low,5,namesilo,,
d899f9b4-62ff-4f31-b379-f02e2b89660f,acquitted.gay,available,2.98,50.98,low,low,9,namecheap,,
fd77ff82-4059-49d2-8d4f-45c944afba4d,Katy.gay,premium,312.5,,high,low,4,name.com,,
fbc3f0ad-4b9b-4986-bbb0-7f0cf6f442b6,letterofreference.gay,available,38.99,38.99,high,low,19,namesilo,,
7e89fa6b-af2e-4c6c-8767-52e594f401cf,irritated.gay,available,2.98,50.98,low,low,9,namecheap,,
8371da93-91bb-4e71-aa94-e3da05e1876d,scandal.gay,premium,302.5,302.5,medium,low,7,namesilo,,
1c4a08cc-a223-420d-8412-1ceef35683e1,romance.gay,premium,812.5,,high,low,7,name.com,,
199de8c3-10d1-4f30-ae2e-305d0a1514b5,aguacate.gay,available,2.98,50.98,low,low,8,namecheap,,
69a6e14b-a9af-4d5a-b8d2-5e9d8016d6da,sufferable.gay,available,2.98,50.98,low,low,10,namecheap,,
77c6df43-eefe-4612-add6-04d0e01ef7b0,proclaim.gay,available,38.99,38.99,high,low,8,namesilo,,
26689265-7e40-4020-94db-2bc5168bca7c,antlered.gay,available,2.98,50.98,low,low,8,namecheap,,
35600c10-9e44-4332-bf4c-57a12c0c53b9,fallunder.gay,available,38.99,38.99,medium,low,10,namesilo,,
257afd2f-6493-4591-ab83-a0b9533e34ac,whitesalt.gay,available,38.99,38.99,low,low,10,namesilo,,
b5212725-6305-4555-a89c-e925524b1dde,smiling.gay,available,38.99,38.99,high,low,7,namesilo,,
af5050e8-6eb9-44e6-9b38-c7b944c0c159,heartthrob.gay,available,38.99,38.99,high,low,10,namesilo,,
96c96aa9-2a0c-48a0-80ae-804cc4f5e4d3,severely.gay,available,38.99,38.99,medium,low,8,namesilo,,
88e8815e-a8dc-486a-b9a8-e21a47812d6f,trillionaire.gay,available,50.98,,high,low,12,namecheap,,
ec3607f3-b39d-4f70-b452-6b6e61c61b3a,incompatible.gay,available,38.99,38.99,high,low,12,namesilo,,
0047ed72-e29e-4985-8dc0-db1275596ac9,excusatory.gay,available,2.98,50.98,low,low,10,namecheap,,
48327792-97db-424a-a6a7-5bfc184ac667,charleston.gay,premium,116,116,high,low,10,namesilo,,
8c30f41e-fb1c-48fb-b852-b99cacad3cea,inaway.gay,available,50.98,,medium,low,8,namecheap,,
293ceac2-2806-4f6e-ae6f-4f961ba14dd5,thrown.gay,available,38.99,38.99,medium,low,6,namesilo,,
fbe0a7a2-eabf-47f0-be7a-28b9c27aba11,unsatisfactory.gay,available,38.99,38.99,medium,low,14,namesilo,,
5c0f9b0e-2cb1-4a9d-85ea-a4f39ae37a38,tasking.gay,available,38.99,38.99,medium,low,7,namesilo,,
3951c9bf-79ec-4e10-819c-151641593ea2,makegoodon.gay,available,38.99,38.99,high,low,12,namesilo,,
